Customer ID,frequency,recency,T,monetary_value,predicted_purchases_90d,predicted_aov,predicted_clv_90d,Cluster,Persona
12346.0,7.0,400.0,725.0,11066.637142857144,0.453821631619193,9520.10577419738,78328.91316501393,0,2. Loyal Spenders (Steady Revenue)
12347.0,7.0,402.0,404.0,717.3985714285715,1.472949963357663,672.7299766677045,17504.764847984432,1,"1. Champions (High Spend, High Freq)"
12348.0,4.0,363.0,438.0,449.31,0.8591154978539611,440.2129900231895,6673.077028614074,0,2. Loyal Spenders (Steady Revenue)
12349.0,3.0,571.0,589.0,1120.0566666666666,0.5623772959684302,918.487960416695,9211.440411333515,0,2. Loyal Spenders (Steady Revenue)
12352.0,8.0,356.0,392.0,338.26125,1.6666430081443964,347.4858179214194,10226.503369346668,1,"1. Champions (High Spend, High Freq)"
12353.0,1.0,204.0,408.0,89.0,0.32783026539657134,263.086005232145,1490.2235582117169,3,"4. At-Risk/Low Value (Old Recency, Low Spend)"
12355.0,1.0,353.0,567.0,459.4,0.26941159900245415,432.35241605251474,2045.4547532458937,0,2. Loyal Spenders (Steady Revenue)
12356.0,5.0,402.0,424.0,1092.648,1.0726463058918743,961.4877380322935,18209.152177825952,0,2. Loyal Spenders (Steady Revenue)
12357.0,1.0,355.0,388.0,6207.67,0.4109716856163482,3059.2126518149526,21670.53746784256,0,2. Loyal Spenders (Steady Revenue)
12358.0,4.0,730.0,731.0,614.3100000000001,0.5774968103316034,567.4231116129865,5917.928081273353,0,2. Loyal Spenders (Steady Revenue)
12359.0,9.0,677.0,734.0,908.3611111111111,1.0973945463163444,850.1890236832622,16948.575451830144,1,"1. Champions (High Spend, High Freq)"
12360.0,7.0,603.0,655.0,590.6985714285713,0.9780721991362898,564.4164513962238,9964.17960344275,1,"1. Champions (High Spend, High Freq)"
12361.0,3.0,395.0,682.0,134.01666666666668,0.4076015245472389,212.20050991169728,1552.8740125135314,3,"4. At-Risk/Low Value (Old Recency, Low Spend)"
12362.0,10.0,735.0,738.0,522.6229999999999,1.2117483272335952,510.61818341675826,11248.501131015788,1,"1. Champions (High Spend, High Freq)"
12363.0,1.0,133.0,242.0,252.9,0.5190012576899283,337.98547805465745,2958.32018877481,2,"3. Promising/Recent (Low Freq, High Potential)"
12364.0,3.0,105.0,112.0,229.7266666666667,1.7700785311226497,280.7563209212236,8272.46243624893,2,"3. Promising/Recent (Low Freq, High Potential)"
12369.0,2.0,228.0,641.0,721.415,0.22743800939013958,605.1979421925512,2452.9704799038864,0,2. Loyal Spenders (Steady Revenue)
